name,categories,lat,lng,id,venue_id
Yulla Asian Fusion Restaurant,Asian Restaurant,43.651587,-79.379232,4de827e4d4c0faa56428a51a,
Mercatto,Italian Restaurant,43.6502431921682,-79.38081989149896,4adc5c6af964a520da2b21e3,
A&W,Fast Food Restaurant,43.651378,-79.378986,4ed5094f0e01fd2f5bc0190f,
Ninki Sushi,Japanese Restaurant,43.649812174244005,-79.37951837924346,4beb2c0ba9900f475b7a1740,
Victoria's Restaurant,Restaurant,43.64929834396347,-79.37643067251867,4ad4c05cf964a52006f620e3,498556908
The Hot House Restaurant & Bar,American Restaurant,43.64882370529773,-79.37370210886002,4ada5d5bf964a520e92121e3,
Trial Restaurant and Bar,Mongolian Restaurant,43.648932390189465,-79.37609195709229,525c07e211d2a64185b0f95a,
P.J. O'Brien Irish Pub & Restaurant,Pub,43.64890910058636,-79.37533020973206,4ee61a462da504839760f8c9,
Copetin Restaurant And Bar,Spanish Restaurant,43.649849,-79.374087,595ec15909e2831d70f13015,
Woods Restaurant & Bar,Molecular Gastronomy Restaurant,43.6493568159853,-79.37500248445933,51a15add498e3fa3478d2d9c,
L'Apero Restaurant,Restaurant,43.65182,-79.37441,4dff2649d22d48be8127cd1c,
B.L.D Restaurant,New American Restaurant,43.6508315945072,-79.37663892404116,4c38f3fc0a71c9b6f6ad41c9,
Hendricks Restaurant & Bar,Restaurant,43.65341542752959,-79.37969842137554,5a8b24b2018cbb6c4ca70dae,
Richtree Natural Market Restaurants,Restaurant,43.652614361741726,-79.38023131683906,4b295e10f964a520ba9d24e3,
Golden Thai Restaurant,Thai Restaurant,43.65252473089013,-79.37536916039467,4ad4c061f964a520a7f720e3,
McDonald's,Fast Food Restaurant,43.6530885,-79.3755076,4ba52d58f964a52015e838e3,
Portico,Restaurant,43.651855687900124,-79.37805540906518,4c1417c182a3c9b676b9fcf8,35491688
Metropolitan Resto Bar,Italian Restaurant,43.65006166044848,-79.3771814107564,4bbe0c134e069c745a829fe3,49918575
Bikkuri Japanese,Sushi Restaurant,43.649564308142,-79.37632789169632,4af63562f964a5203d0222e3,
Paddington's Pump,Diner,43.649035,-79.371899,4ad4c05ff964a52037f720e3,136511588
NAMI,Japanese Restaurant,43.650853361785124,-79.37588746641697,4b999927f964a5207c8635e3,
Terroni,Italian Restaurant,43.650927,-79.375602,4b49183ff964a520a46526e3,
Pearl Diver,Gastropub,43.651481290733734,-79.37359954211877,4ad8ad9bf964a520a51321e3,99375482
C'est What,Beer Bar,43.64842583928427,-79.37343925237656,4ad4c05cf964a520e3f520e3,50003822
